mesh,vertices,bins,mse_minmax,mae_minmax,mse_unitsphere,mae_unitsphere
branch,2767,1024,7.815262558275772e-07,0.0007340000765433482,0.06596342929735309,0.13947751975360662
cylinder,192,1024,7.966258421033582e-07,0.0006109481915933477,0.3333335843622248,0.37849231828468327
explosive,2812,1024,1.2438178890503777e-07,0.0002755318578340662,0.03194405029056564,0.09454454059945258
fence,1088,1024,1.5700000336421819e-07,0.00027300471568148183,0.03141011442115323,0.09499435325627935
girl,8284,1024,2.0540857857605905e-07,0.00036982259319256485,0.012925539314471666,0.058406450575648
person,3103,1024,7.891145874144547e-07,0.0006918588893309607,0.08054940535622944,0.12739785541027837
table,3148,1024,1.4881127939019155e-07,0.0003067378844393455,0.03062915981004067,0.10319786880805114
talwar,1668,1024,1.307100895117411e-07,0.00022837003788953226,0.005479080761433336,0.0335852101644678
